Goal,GoalDialogue,ThanksDialogue,,,,
NPC is NotHungry,"Gosh I'm hungry, I could really go for some food.","Oh thank you, I was starving!",,,,
NPC is NotCranky,"I've felt pretty awful today, probably just hungry.","I'm feeling much better now, much appreciated!",,,,
Wizard contains Hat,Oh drat! It seems I've lost my hat! How can I be a wizard if I don't have my pointy hat?!?,Oh my heavens thank you! Now I can finally get back to work on that murder curse...,,,,
NPC has Cookie,"Please help! My daughter, she's missing. Her favourite food is cookies. Maybe if I get some she'll come home?",I'm in your debt. It's been a few months but I hope the smell of these cookies will encourage her to climb out of that well...,,,,
NPC is Drunk,This whole business with the Sphinx is doing my head in. I need something strong to help me forget...,"Tanks mistr, ur a tru jent... *blep*",,,,
NPC has Sushi,I love fish and I love rice but I just can't think of a way to have both at the same time!,"Wow you're a genius! You call this sushi, yes?",,,,
NPC has Apple,My doctor won't leave me alone! Please for the love of god get me an apple!!!,Finally I can keep that freak away from me...,,,,
NPC has Sake,For god's sake get me some sake now!,Much obliged lad.,,,,
NPC has FriedEggs,A gang of chickens have been harassing me for weeks. Leaving some fried eggs outside my door might send them a message...,"Thank you, I really appreciate it. Those chickens will learn soon enough that messing with me has consequences.",,,,
NPC has PumpkinPie,I've just had a deranged idea. What if a pie had pumpkin in it!?! I can't even begin to imagine what that would taste like...,Hmm... interesting... This would probably taste better as a latte.,,,,
NPC has LemonMeringuePie,My kids want a dessert that combines the tartness of lemon with the sweet fluffiness of meringue. How can I keep them both happy?!?,Oh you're a lifesaver. I'll get this to them now before they slit each other's throats.,,,,
NPC has ApplePie,,,,,,
NPC has Waffles,,,,,,
NPC has ChickenDrumstick,The chicken drummer in my chicken band lost his chicken drumsticks. Can you get some for him?,"Thanks. Hey, chicken Ringo, come over here I got you some new drumsticks...",,,,
NPC has RoastChicken,A gang of chickens have been harassing me for weeks. Leaving a roast chicken outside my door might send them a message...,"Thank you, I really appreciate it. Those chickens will learn soon enough that messing with me has consequences.",,,,
NPC has BottleOfWine,Having this Sphinx here is really getting on my nerves. I would usually just drink a glass of wine to cope but now I think I'll need a whole bottle!,"*glug* *glug* Oh my, I'm feeling sleepy...",,,,
NPC has Pretzel,I need something doughy and salty. And it must wrap around into itself.,A pretzel! Exactly what I was looking for!,,,,
NPC has Drink,*cough* *cough* God I'm parched.,Thanks lad.,,,,
NPC has Hat,"My husband says if I wear a hat I'll look like a creep. Ha, I'll show him...",Now I'll show my husband just how much of a hat creep I can be!,,,,
