Input1,Input2,Action,Output1,Output2,Output3,Output4
Bowl isa Bowl,Vegetable isa Vegetable,MakeBowlOfSalad,BowlOfSalad isa BowlOfSalad,,,
GlassJar isa GlassJar,Strawberry isa Strawberry,MakeStrawberryJam,StrawberryJam isa StrawberryJam,,,
Dough isa Dough,Oven isa Oven,MakePretzel,Pretzel isa Pretzel,Oven isa Oven,,
Honeycomb isa Honeycomb,GlassJar isa GlassJar,MakeJarOfHoney,JarOfHoney isa JarOfHoney,,,
Dough isa Dough,Oven isa Oven,MakeLoafOfBread,LoafOfBread isa LoafOfBread,Oven isa Oven,,
Log isa Log,SpoolOfThread isa SpoolOfThread,MakeLute,Lute isa Lute,,,
Dough isa Dough,Oven isa Oven,MakeCroissant,Croissant isa Croissant,Oven isa Oven,,
LoafOfBread isa LoafOfBread,Knife isa Knife,SliceBread,SliceOfBread isa SliceOfBread,Knife isa Knife,,
Potion isa Potion,NPC isa NPC,GivePotion,NPC isa NPC has Potion,,,
DemonPotion isa DemonPotion,NPC isa NPC,GiveDemonPotion,NPC isa NPC has DemonPotion,,,
RedPotion isa RedPotion,NPC isa NPC,GiveRedPotion,NPC isa NPC has RedPotion,,,
BluePotion isa BluePotion,NPC isa NPC,GiveBluePotion,NPC isa NPC has BluePotion,,,
GreenPotion isa GreenPotion,NPC isa NPC,GiveGreenPotion,NPC isa NPC has GreenPotion,,,
Skull isa Skull,NPC isa NPC,GiveSkull,NPC isa NPC has Skull,,,
Pan isa Pan,NPC isa NPC,GivePan,NPC isa NPC has Pan,,,
Butter isa Butter,NPC isa NPC,GiveButter,NPC isa NPC has Butter,,,
Flour isa Flour,NPC isa NPC,GiveFlour,NPC isa NPC has Flour,,,
Ink isa Ink,NPC isa NPC,GiveInk,NPC isa NPC has Ink,,,
Letter isa Letter,NPC isa NPC,GiveLetter,NPC isa NPC has Letter,,,
Paper isa Paper,NPC isa NPC,GivePaper,NPC isa NPC has Paper,,,
Whip isa Whip,NPC isa NPC,GiveWhip,NPC isa NPC has Whip,,,
Shield isa Shield,NPC isa NPC,GiveShield,NPC isa NPC has Shield,,,
